comment,category
very good and amazing,pos
Very good period movie,pos
very inspiring,pos
Story is good acting was okay overall nice,pos
Songs were nice,pos
Very Boring Movie,neg
Good movie,pos
The sound quality amazes me. The actors were great,pos
Good,pos
Not a good movie,neg
Movie is good but the editing and dialogs are not really good according to me,pos
good movie,pos
Good movie,pos
Amazing movie I loved it,pos
Awesome movie,pos
bad,neg
Very hypothetical movie,neg
Nice,pos
It was very imaginary but had good direction,pos
Effects were bad,neg
direction was bad ,neg
songs were bad,neg
liked the movie,pos
CGI was not good,neg
